Name,Fixed or Live,Image time,Drug,Drug [ ],cells,openings
MDCK 161215_36h_CD100uM_01,F,36,CD,100uM,3,2
MDCK 161215_36h_CD100uM_02,F,36,CD,100uM,6,2
MDCK 161215_36h_CD100uM_03,F,36,CD,100uM,5,0
MDCK 161215_36h_CD100uM_04,F,36,CD,100uM,4,2
MDCK 161215_36h_CD100uM_05,F,36,CD,100uM,4,1
MDCK 161215_36h_CD100uM_06,F,36,CD,100uM,3,0
,F,36,CD,100uM,3,1
MDCK 161215_36h_CD100uM_07,F,36,CD,100uM,4,0
MDCK 161215_36h_CD100uM_08,F,36,CD,100uM,4,1
MDCK 161215_36h_CD100uM_09,F,36,CD,100uM,3,1
MDCK 161215_36h_CD100uM_10,F,36,CD,100uM,4,1
MDCK 161215_36h_CD100uM_11,F,36,CD,100uM,5,3
MDCK 161215_36h_DMSO_01,F,36,DMSO,100uM,8,2
MDCK 161215_4h_CD100uM_01,F,48,CD,100uM,3,1
MDCK 161215_4h_CD100uM_02,F,48,CD,100uM,,
MDCK 161215_4h_CD100uM_03,F,48,CD,100uM,4,1
MDCK 161215_4h_DMSO_01,F,48,DMSO,100uM,4,1
MDCK 170110_12h_CT100_01,F,48,CT,100 ng/mL,19,1
MDCK 170110_12h_CT100_02,F,48,CT,100 ng/mL,5,2
MDCK 170110_12h_CT100_03,F,48,CT,100 ng/mL,4,1
MDCK 170110_12h_CT100_04,F,48,CT,100 ng/mL,4,2
MDCK 170110_12h_CT100_05,F,48,CT,100 ng/mL,5,1
MDCK 170110_12h_CT100_06,F,48,CT,100 ng/mL,5,1
MDCK 170110_12h_CT200_01,F,48,CT,200 ng/mL,24,1
,F,48,CT,200 ng/mL,16,1
MDCK 170110_12h_CT200_02,F,48,CT,200 ng/mL,,
MDCK 170110_12h_CT200_03,F,48,CT,200 ng/mL,12,1
MDCK 170110_12h_CT200_04,F,48,CT,200 ng/mL,7,1
MDCK 170110_12h_CT200_05,F,48,CT,200 ng/mL,3,1
,F,48,CT,200 ng/mL,5,0
MDCK 170110_12h_CT500_01,F,48,CT,500 ng/mL,15,1
MDCK 170110_12h_CT500_02,F,48,CT,500 ng/mL,9,1
MDCK 170110_12h_CT500_03,F,48,CT,500 ng/mL,7,1
MDCK 170110_12h_CT500_04,F,48,CT,500 ng/mL,9,1
MDCK 170110_12h_ctl_01,F,48,ctl,N/A,,
MDCK 170110_12h_ctl_02,F,48,ctl,N/A,17,3
MDCK 170110_12h_ctl_03,F,48,ctl,N/A,4,0
MDCK 170110_12h_ctl_04,F,48,ctl,N/A,8,1
MDCK 170110_12h_ctl_05,F,48,ctl,N/A,8,2
MDCK 170110_12h_ctl_06,F,48,ctl,N/A,,
MDCK 170110_24h_CT100_01,F,48,CT,100 ng/mL,,
MDCK 170110_24h_CT100_02,F,48,CT,100 ng/mL,,
MDCK 170110_24h_CT100_03,F,48,CT,100 ng/mL,,
MDCK 170110_24h_CT100_04,F,48,CT,100 ng/mL,,
MDCK 170110_24h_CT100_05,F,48,CT,100 ng/mL,,
MDCK 170110_24h_CT100_06,F,48,CT,100 ng/mL,,
MDCK 170110_24h_CT200_01,F,48,CT,200 ng/mL,,
MDCK 170110_24h_CT200_02,F,48,CT,200 ng/mL,,
MDCK 170110_24h_CT200_03,F,48,CT,200 ng/mL,,
MDCK 170110_24h_CT200_04,F,48,CT,200 ng/mL,,
MDCK 170110_24h_CT500_01,F,48,CT,500 ng/mL,,
MDCK 170110_24h_CT500_02,F,48,CT,500 ng/mL,,
MDCK 170110_24h_CT500_03,F,48,CT,500 ng/mL,,
MDCK 170110_24h_CT500_04,F,48,CT,500 ng/mL,,
MDCK 170110_24h_ctl_01,F,48,ctl,N/A,,
MDCK 170110_24h_ctl_02,F,48,ctl,N/A,,
MDCK 170110_24h_ctl_03,F,48,ctl,N/A,,
MDCK 170110_24h_ctl_04,F,48,ctl,N/A,,
MDCK 170110_24h_ctl_05,F,48,ctl,N/A,,
